Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
10.20.73.129,142.250.141.84,65042,443,6,58.53,4877,78,23,4955,84.66,215.43,0.39,62.53,"ACK, SYN",->
10.20.73.129,142.250.68.35,65043,443,6,43.20,28819,78,213,28897,668.85,135.67,4.93,369.47,"ACK, SYN",->
142.250.141.84,10.20.73.129,443,65042,6,58.52,13326,74,29,13400,228.97,462.07,0.50,180.08,"ACK, SYN",->
142.250.68.35,10.20.73.129,443,65043,6,43.24,148400,74,274,148474,3433.94,541.88,6.34,2005.41,"ACK, SYN",->
10.20.73.129,142.250.189.4,65044,443,6,59.17,4303,78,25,4381,74.05,175.24,0.42,55.17,"ACK, SYN",->
142.250.189.4,10.20.73.129,443,65044,6,59.16,37250,74,46,37324,630.89,811.39,0.78,503.38,"ACK, SYN",->
10.20.73.129,142.251.40.35,65045,443,6,67.11,9126,78,68,9204,137.16,135.35,1.01,117.00,"ACK, SYN",->
142.251.40.35,10.20.73.129,443,65045,6,67.10,65576,74,99,65650,978.40,663.13,1.48,886.16,"ACK, SYN",->
10.20.73.129,44.210.248.109,64446,443,6,59.99,818,54,9,872,14.53,96.89,0.15,15.15,ACK,->
44.210.248.109,10.20.73.129,443,64446,6,60.00,1489,66,11,1555,25.92,141.36,0.18,22.56,ACK,->
10.20.73.129,142.250.72.142,65047,443,6,59.08,3531,78,17,3609,61.09,212.29,0.29,45.27,"ACK, SYN",->
142.250.72.142,10.20.73.129,443,65047,6,59.07,8629,74,18,8703,147.33,483.50,0.30,116.61,"ACK, SYN",->
10.20.73.129,44.209.32.89,61692,443,6,45.16,237,105,4,342,7.57,85.50,0.09,2.26,ACK,->
44.209.32.89,10.20.73.129,443,61692,6,45.15,276,66,4,342,7.57,85.50,0.09,4.18,ACK,->
10.20.73.129,142.250.188.238,65049,443,6,60.32,8330,78,50,8408,139.38,168.16,0.83,106.79,"ACK, SYN",->
142.250.188.238,10.20.73.129,443,65049,6,60.32,14631,74,68,14705,243.80,216.25,1.13,197.72,"ACK, SYN",->
10.20.73.129,142.250.188.238,65051,443,6,60.21,8816,78,51,8894,147.72,174.39,0.85,113.03,"ACK, SYN",->
142.250.188.238,10.20.73.129,443,65051,6,60.20,17281,74,67,17355,288.30,259.03,1.11,233.53,"ACK, SYN",->
10.20.73.129,104.18.34.244,64433,443,6,0.01,222,105,4,327,40236.38,81.75,492.19,2.11,"FIN, ACK",->
104.18.34.244,10.20.73.129,443,64433,6,0.00,66,66,2,132,32441.59,66.00,491.54,1.00,"FIN, ACK",->
10.20.73.129,20.59.87.226,63671,443,6,45.08,403,81,6,484,10.74,80.67,0.13,4.98,ACK,->
20.59.87.226,10.20.73.129,443,63671,6,45.03,680,66,6,746,16.56,124.33,0.13,10.30,ACK,->
